year,state,population,registered,voted,norm_voter_reg,norm_voter_pop
2020,OK,2942,1884,1631,0.8657112526539278,0.5543847722637661
2020,OR,3369,2590,2402,0.9274131274131274,0.7129712080736124
2020,PA,9902,7337,6756,0.9208123211121712,0.6822864067865078
2020,RI,840,575,515,0.8956521739130435,0.6130952380952381
2020,SC,4010,2713,2459,0.9063767047548839,0.613216957605985
2020,SD,659,437,380,0.8695652173913043,0.5766312594840668
2020,TN,5283,3742,3346,0.8941742383752004,0.6333522619723642
2020,TX,21485,13343,11874,0.8899048190062205,0.5526646497556434
2020,UT,2320,1468,1386,0.944141689373297,0.5974137931034482
2020,VT,507,365,342,0.936986301369863,0.6745562130177515
2020,VA,6481,4541,4275,0.9414225941422594,0.6596204289461503
2020,WA,5993,4029,3854,0.9565649044427897,0.6430835975304522
2020,WV,1397,928,773,0.8329741379310345,0.5533285612025769
2020,WI,4538,3391,3253,0.9593040401061633,0.7168356104010577
2020,WY,436,296,280,0.9459459459459459,0.6422018348623854
2020,US,252274,168308,154628,0.9187204410960857,0.6129367275264197
2018,AL,3753,2490,1830,0.7349397590361446,0.4876099120703437
2018,AK,523,337,263,0.7804154302670623,0.502868068833652
2018,AZ,5361,3262,2800,0.8583690987124464,0.5222906174221228
2018,AR,2261,1262,919,0.7282091917591125,0.40645731977001326
2018,CA,30243,15690,13240,0.8438495857233907,0.4377872565552359
2018,CO,4353,2645,2342,0.8854442344045369,0.5380197564897772
2018,CT,2834,1726,1370,0.7937427578215527,0.48341566690190546
2018,DE,756,472,369,0.7817796610169492,0.4880952380952381
2018,DC,567,397,313,0.7884130982367759,0.5520282186948854
2018,FL,16845,9435,7918,0.8392156862745098,0.4700504600771742
2018,GA,7850,4840,4084,0.843801652892562,0.5202547770700637
2018,HI,1057,523,427,0.8164435946462715,0.40397350993377484
2018,ID,1299,743,587,0.7900403768506057,0.4518860662047729
2018,IL,9732,6068,4740,0.7811470006591957,0.4870530209617756
2018,IN,5006,3131,2364,0.7550303417438518,0.47223332001598084
2018,IA,2376,1658,1335,0.8051869722557298,0.5618686868686869
2018,KS,2149,1449,1152,0.7950310559006211,0.536063285248953
2018,KY,3370,2389,1746,0.7308497279196317,0.5181008902077151
2018,LA,3458,2263,1656,0.7317719840919134,0.47888953152111047
2018,ME,1074,828,693,0.8369565217391305,0.6452513966480447
2018,MD,4666,3095,2320,0.7495961227786753,0.4972138876982426
2018,MA,5460,3345,2731,0.8164424514200299,0.5001831501831502
2018,MI,7657,5453,4418,0.8101962222629745,0.5769883766488181
2018,MN,4238,3000,2523,0.841,0.595327984898537
2018,MS,2194,1599,1180,0.7379612257661038,0.5378304466727438
2018,MO,4676,3299,2509,0.7605334949984844,0.5365697177074422
2018,MT,822,579,518,0.8946459412780656,0.6301703163017032
2018,NE,1428,883,676,0.7655719139297849,0.4733893557422969
2018,NV,2324,1277,1006,0.7877838684416602,0.43287435456110157
2018,NH,1080,726,576,0.7933884297520661,0.5333333333333333
2018,NJ,7009,4297,3384,0.787526181056551,0.4828078185190469
2018,NM,1576,916,715,0.7805676855895196,0.4536802030456853
2018,NY,15478,8553,6775,0.7921197240734246,0.43771805142783304
2018,NC,7911,5160,3899,0.7556201550387597,0.49285804575906966
2018,ND,560,397,335,0.8438287153652393,0.5982142857142857
2018,OH,8873,6062,4538,0.7485978225008248,0.5114391975656486
2018,OK,2868,1777,1350,0.7597073719752392,0.4707112970711297
2018,OR,3293,2274,1918,0.8434476693051891,0.5824476161554814
2018,PA,9928,6469,5173,0.7996599165249653,0.5210515713134569
2018,RI,828,532,403,0.7575187969924813,0.4867149758454106
2018,SC,3914,2430,1836,0.7555555555555555,0.4690853346959632
2018,SD,648,429,331,0.7715617715617715,0.5108024691358025
2018,TN,5202,3183,2487,0.7813383600377003,0.47808535178777395
2018,TX,21064,11634,8886,0.7637957710159876,0.4218571971135587
2018,UT,2247,1443,1214,0.8413028413028413,0.5402759234534935
2018,VT,503,343,273,0.7959183673469388,0.5427435387673957
2018,VA,6386,4159,3319,0.7980283722048569,0.519730660820545
2018,WA,5775,3852,3234,0.839563862928349,0.56
2018,WV,1406,892,610,0.6838565022421524,0.43385490753911804
2018,WI,4436,3129,2776,0.8871844039629274,0.6257889990982868
2018,WY,430,268,220,0.8208955223880597,0.5116279069767442
2018,US,249748,153066,122281,0.7988776083519528,0.48961753447475054
2016,AL,3717,2526,2095,0.8293745051464766,0.5636265805757331
2016,AK,518,358,308,0.8603351955307262,0.5945945945945946
