year,state,office,party,norm_vote_count
2020,NJ,House,REP,0.03115611385419692
2020,NM,House,DEM,0.16075907911802853
2020,NM,House,REP,0.13222632944228274
2020,NY,House,REP,0.011512448239060833
2020,NY,House,DEM,0.018690908731570418
2020,NC,House,DEM,0.03965443488888558
2020,NC,House,REP,0.04248750242201124
2020,ND,House,REP,0.572013986013986
2020,OH,House,REP,0.030148958488043963
2020,OH,House,DEM,0.023260844596267143
2020,OK,House,REP,0.11084660297239915
2020,OK,House,DEM,0.05050222929936306
2020,OR,House,REP,0.07465528957528958
2020,OR,House,DEM,0.07794285714285715
2020,PA,House,REP,0.02599151181984765
2020,PA,House,DEM,0.025341208183786892
2020,RI,House,DEM,0.27185739130434783
2020,RI,House,REP,0.19112
2020,SC,House,REP,0.0743870254330999
2020,SC,House,DEM,0.056700489705650045
2020,SD,House,REP,0.7368054919908467
2020,TN,House,REP,0.056295263228220205
2020,TN,House,DEM,0.03282668210701348
2020,TX,House,REP,0.012338371347439772
2020,TX,House,DEM,0.010194011425050171
2020,UT,House,REP,0.14873075613079018
2020,UT,House,DEM,0.0861624659400545
2020,VT,House,DEM,0.6543369863013698
2020,VT,House,REP,0.26254794520547947
2020,VA,House,REP,0.040992873015555244
2020,VA,House,DEM,0.04963607134992292
2020,WA,House,DEM,0.05280705792098197
2020,WA,House,REP,0.04261978434130333
2020,WV,House,REP,0.18472270114942527
2020,WV,House,DEM,0.0886864224137931
2020,WI,House,REP,0.061242959304040105
2020,WI,House,DEM,0.05775106900619287
2020,WY,House,REP,0.627472972972973
2020,WY,House,DEM,0.2249189189189189
2018,AL,House,REP,0.06531037483266398
2018,AL,House,DEM,0.03893786574870912
2018,AK,House,REP,0.4444480712166172
2018,AZ,House,DEM,0.04016598542135023
2018,AZ,House,REP,0.043656154199877374
2018,AR,House,REP,0.11020978605388272
2018,AR,House,DEM,0.06200039619651347
2018,CA,House,REP,0.005591721710411959
2018,CA,House,DEM,0.009282629352801438
2018,CO,House,DEM,0.07254717796381313
2018,CO,House,REP,0.058318768566027544
2018,CT,House,DEM,0.09370243337195829
2018,CT,House,REP,0.05938528389339513
2018,DE,House,DEM,0.48168008474576274
2018,DE,House,REP,0.26564406779661015
2018,DC,House,DEM,0.5015717884130982
2018,DC,House,REP,0.024433249370277077
2018,FL,House,REP,0.017706879606879607
2018,FL,House,DEM,0.015240330867952352
2018,GA,House,REP,0.031582819453274
2018,GA,House,DEM,0.0288377145581691
2018,HI,House,DEM,0.27525908221797324
2018,HI,House,REP,0.08350669216061185
2018,ID,House,REP,0.24763997308209956
2018,ID,House,DEM,0.13950403768506056
2018,IL,House,DEM,0.025246649088112503
2018,IL,House,REP,0.016062852486632976
2018,IN,House,DEM,0.03549111040136272
2018,IN,House,REP,0.044287519074488094
2018,IA,House,DEM,0.10022255729794934
